index,name,price,number_of_comment,brand,CPU,hardware_size,RAM,resolution,display,comment
0,Laptop HP ENVY 13-ba0046TU (Intel core i5-1035G4  RAM 8GB  512GB SSD  13.3"FHD  Win10 Home 64 Office Gold_171M7PA - Hàng Chính Hãng ,21490000,6,HP,,,,,,Cực kì hài lòng
0,Laptop HP ENVY 13-ba0046TU (Intel core i5-1035G4  RAM 8GB  512GB SSD  13.3"FHD  Win10 Home 64 Office Gold_171M7PA - Hàng Chính Hãng ,21490000,6,HP,,,,,,Cực kì hài lòng
0,Laptop HP ENVY 13-ba0046TU (Intel core i5-1035G4  RAM 8GB  512GB SSD  13.3"FHD  Win10 Home 64 Office Gold_171M7PA - Hàng Chính Hãng ,21490000,6,HP,,,,,,Cực kì hài lòng
0,Laptop HP ENVY 13-ba0046TU (Intel core i5-1035G4  RAM 8GB  512GB SSD  13.3"FHD  Win10 Home 64 Office Gold_171M7PA - Hàng Chính Hãng ,21490000,6,HP,,,,,,Cực kì hài lòng
0,Laptop HP ENVY 13-ba0046TU (Intel core i5-1035G4  RAM 8GB  512GB SSD  13.3"FHD  Win10 Home 64 Office Gold_171M7PA - Hàng Chính Hãng ,21490000,6,HP,,,,,,Cực kì hài lòng
0,Laptop HP ENVY 13-ba0046TU (Intel core i5-1035G4  RAM 8GB  512GB SSD  13.3"FHD  Win10 Home 64 Office Gold_171M7PA - Hàng Chính Hãng ,21490000,6,HP,,,,,,Cực kì hài lòng
1,Laptop HP Pavilion Gaming 15-dk1074TX  Core i7-10750H(2.60 GHz  12 MB) 8GB RAM 512GB SSD GeForce GTX 1650 4GB 15.6""FHD Wlan ax+BT Win 10 Home 1Y WTY_1K3U8PA - Hàng Chính Hãng ,25490000,2,HP,,,,,,máy chạy cực êm cực mạnh tầm giá quá hợp lí ở phân khúc tầm trung chip khủng và card tương đối cao 5 sao 
1,Laptop HP Pavilion Gaming 15-dk1074TX  Core i7-10750H(2.60 GHz  12 MB) 8GB RAM 512GB SSD GeForce GTX 1650 4GB 15.6""FHD Wlan ax+BT Win 10 Home 1Y WTY_1K3U8PA - Hàng Chính Hãng ,25490000,2,HP,,,,,,Cực kì hài lòng
2,Laptop HP EliteBook x360 1030 G4 6MJ72AV (Core i5-8265U/ 8GB DDR4 2133Mhz/ 512GB PCIe NVMe/ 13.3 FHD IPS Touch/ Win10) - Hàng Chính Hãng ,39990000,0,HP,Intel Core i5,512,8,Full HD 1920 x 1080,13.3 ,
3,Laptop HP Pavilion Gaming 15-dk1075TX  Core i7-10750H  8GB RAM  512GB SSD  GeForce GTX 1650Ti 4GB  15.6"FHD  Win 10 Home_1K3V0PA - Hàng Chính Hãng ,25490000,0,HP,,,,,,
