index,name,price,number_of_comment,brand,size,weight,camera,comment
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Bạn ơi mình đã nhận được hàng rồi cám ơn Tiki Tuy nhiên lúc mình mua thấy báo được tặng kèm một cuộn film 10 ảnh nhưng lúc nhận chỉ có máy ảnh May mà mình mua thêm cuộn film 20 ảnh trên tiki Vậy kiểm tra lại giúp mình nhé
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Tiki giao hàng nhanh giao đúng sản phẩm Máy đẹp lắm có bảo hành chụp rất ok Đúng như mình mong đợi  Ai có ý định thì nên mua k hối hận đâu 
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Máy mình in ảnh tấm thì tối thui tấm thì trắng nguyên tấm như vầy 
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Máy cực kỳ xinh Chụp tốt
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Bóng đèn flash có bụi đen và xuất hiện trên ảnh
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Quá đẹp so với giá dưới 2tr Nhưng km 10 hình 3 ngày sau mới có
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Đẹp và xịn lắm luôn 3
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kỳ thích máy xịn săn sale giá ok
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Xinh xỉu nhưng căn màu khá khó
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Rất ok
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Bạn ơi mình đã nhận được hàng rồi cám ơn Tiki Tuy nhiên lúc mình mua thấy báo được tặng kèm một cuộn film 10 ảnh nhưng lúc nhận chỉ có máy ảnh May mà mình mua thêm cuộn film 20 ảnh trên tiki Vậy kiểm tra lại giúp mình nhé
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Tiki giao hàng nhanh giao đúng sản phẩm Máy đẹp lắm có bảo hành chụp rất ok Đúng như mình mong đợi  Ai có ý định thì nên mua k hối hận đâu 
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Máy mình in ảnh tấm thì tối thui tấm thì trắng nguyên tấm như vầy 
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Máy cực kỳ xinh Chụp tốt
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Bóng đèn flash có bụi đen và xuất hiện trên ảnh
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Quá đẹp so với giá dưới 2tr Nhưng km 10 hình 3 ngày sau mới có
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Đẹp và xịn lắm luôn 3
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kỳ thích máy xịn săn sale giá ok
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Xinh xỉu nhưng căn màu khá khó
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Rất ok
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kì hài lòng
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,xịn còn nguyên seal
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Sản phẩm tốt
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Chụp vui vui
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kì hài lòng
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kì hài lòng
0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,1890000,59,Fujifilm,1076 x 1212 x 673 mm,293g,,Cực kì hài lòng
