,index,name,brand,price,number_of_comment,weight(g),camera(mp),Negative,Positive,rank
0,0,Máy Ảnh Lấy Liền Fujifilm Instax Mini 11-Hàng Chính Hãng,Fujifilm,1890000.0,59.0,293.0,90.2,0.17331650590801573,0.8266834940919843,195
1,1,Máy Ảnh Canon EOS 3000D + Lens EF-S 18 - 55mm III (Lê Bảo Minh) - Hàng Chính hãng,Canon,7290000.0,63.0,436.0,190.2,0.2821773516386625,0.7178226483613376,197
2,2,Máy Ảnh Fujifilm X-T200 + Lens 15-45mm (24.2MP) - Hàng Chính Hãng,Fujifilm,15290000.0,22.0,370.0,174.2,0.15827318664993645,0.8417268133500636,185
3,3,Máy Ảnh Canon Powershot G7X Mark II – Đen – Hàng Chính Hãng,Canon,10490000.0,18.0,326.2,242.6,0.24840443385505695,0.7515955661449432,181
4,4,Máy Ảnh Fujifilm X-A7 + Lens 15-45mm - Hàng Chính Hãng,Fujifilm,11990000.0,30.0,273.2,234.4,0.29128440740595773,0.7087155925940424,189
5,5,Máy ảnh lấy liền Fujifilm Instax Mini LiPlay - Hàng chính hãng,Fujifilm,3590000.0,56.0,255.0,90.2,0.22975459262506698,0.7702454073749331,194
6,6,Máy Ảnh Fujifilm X-T30 + Lens 18-55mm - Hàng Chính Hãng,Fujifilm,23900000.0,24.0,372.4,261.0,0.20780403559018268,0.7921959644098172,187
7,7,Máy Ảnh Sony Alpha A6000 + 16-50mm - Hàng Chính Hãng,Sony,11990000.0,193.0,258.0,243.0,0.31817830073756626,0.6818216992624344,201
8,8,Máy Ảnh Sony DSC H300 - 20.1 Megapixel  Zoom 35x - Hàng Chính Hãng,Sony,3490000.0,178.0,590.0,201.0,0.29981321728318966,0.70018678271681,200
9,9,Máy Ảnh Canon EOS M50 + Kit 15-45mm (24.1MP) - Hàng Chính hãng,Canon,16590000.0,94.0,387.0,24.0,0.28678861183384985,0.7132113881661504,199
10,10,Máy Ảnh Fujifilm X-T3 + Lens 18-55mm (26.1MP) - Hàng Chính Hãng,Fujifilm,34990000.0,8.0,539.0,261.0,0.29951879845213814,0.700481201547862,168
11,11,Máy Ảnh Selfie Lấy Liền Fujifilm Instax Mini 9 - Cobalt Blue - Hàng Chính Hãng,Fujifilm,1399000.0,12.0,307.0,90.2,0.3510265780012419,0.6489734219987581,178
