index,name,price,number_of_comment,brand,size,volume(l),number_of_door,comment
0,Tủ Lạnh Sharp Inverter 556L SJ-FX631V-SL ,14499000,76,Sharp,(C x R x D): 172 x 89 x 77 cm,626,4,tủ đẹp các ngăn chưa đồ rất vừa ý mình hệ thống làm lạnh tốt có các hộc tủ có cửa để đồ riêng biệt tránh nhiễm khuẩn tủ 4 cánh thuận tiện lấy đồ không như tủ 2 cánh sẽ bị mất lạnh nhiều hơn  mình gặp trục trặc khi chọn ncc khác ncc thất hẹn rồi tự ý hủy đơn khiến mình đợi chờ xử lý khá lâu  sau đó được tiki hỗ trợ hoàn voucher giảm giá mình đặt lại qua ncc tiki trading thì thời gian giao nhanh đúng hẹn nv giao hàng dễ thương rất nhiệt tình vui vẻ
0,Tủ Lạnh Sharp Inverter 556L SJ-FX631V-SL ,14499000,76,Sharp,(C x R x D): 172 x 89 x 77 cm,626,4,Chào Tiki Mình mua sp này có gói TikiPro tuy nhien khi giao hàng thi shipper chỉ chờ được 15p rồi để ngay thang máy cho tôi tự kéo lên nhà mà trong lượng tủ lạnh hơn 100kg Nếu không đồng ý thì họ sẽ đem về  không giao nữa Vì giao ở chung cư mới nên bất buộc phải chờ đến lượt và các DV khác như Nguyên Kim DMX đều chờ thang máy để giao tận nhà cho khách hàng Với chất lượng của Tiki Pro như vậy là quá tệ Mặc dù sản phẩm tốt
0,Tủ Lạnh Sharp Inverter 556L SJ-FX631V-SL ,14499000,76,Sharp,(C x R x D): 172 x 89 x 77 cm,626,4,Chất lượng Rất ổn ít nhất là đến thời điểm hiện tại Giá Tiki vẫn luôn cung cấp sản phẩm với giá rất cạnh tranh Ship khá nhanh 3 ngày Lắp đặt Nhân viên giao hàng báo là sẽ có kỹ thuật hỗ trợ lắp đặt trong vòng 24h gọi lên nhân viên tư vấn Tiki cũng được thông báo tương tự Chờ 2 ngày không thấy ai tới hỗ trợ lắp gọi lên Tiki lần nữa thì được thông báo là sản phẩm này không hỗ trợ lắp đặt nhân viên Tiki hướng dẫn tự lắp
0,Tủ Lạnh Sharp Inverter 556L SJ-FX631V-SL ,14499000,76,Sharp,(C x R x D): 172 x 89 x 77 cm,626,4,Khi giao hàng thì mình được thông báo là không tự ý mở thùng trong vòng 48 tiếng sẽ có người lắp đặt Mình chờ 2 ngày thì được thông báo lại mình tự lắp đặt Tủ lạnh hơn cả trăm kg bây giờ mình phải tự khui thùng và lắp đặt
0,Tủ Lạnh Sharp Inverter 556L SJ-FX631V-SL ,14499000,76,Sharp,(C x R x D): 172 x 89 x 77 cm,626,4,Tủ lạnh ngon đẹp nhìn sang chứa đc nhiều đồ nhiều ngăn nên ko bị lây mùi bền ko thì chưa bik Mua trên tiki giá rẻ hơn so với điện máy cả 2tr mà bù lại lúc mua ko đo trc lúc vác lên lầu ko đc phải tốn tiền thuê xe cẩu lên như ko 
0,Tủ Lạnh Sharp Inverter 556L SJ-FX631V-SL ,14499000,76,Sharp,(C x R x D): 172 x 89 x 77 cm,626,4,đã giao hàng theo đúng lịch nhưng ko cho mở thùng chỉ giao hàng theo lịch chờ đến khi nào đây Tiki Khi nào Tiki cho người xuống để mở thùng Bảo hành như thế nào Không thấy giao biên bản hay hóa đơn
0,Tủ Lạnh Sharp Inverter 556L SJ-FX631V-SL ,14499000,76,Sharp,(C x R x D): 172 x 89 x 77 cm,626,4,Xài đến giờ là 21 ngàythấy rất okThích nhất không gian rộng rãi chứa rất nhiều đồtủ nhìn sang choảnhcó điều lâu lâu sự giản nở của nhựa kêu cụp cụp cũng hơi giật mình
0,Tủ Lạnh Sharp Inverter 556L SJ-FX631V-SL ,14499000,76,Sharp,(C x R x D): 172 x 89 x 77 cm,626,4,Tủ rất đẹp rộng rãi  Bạn giao hàng hơi kỳ là ko lắp hoàn chỉnh và hướng dẫn mình setup mà nói ngày hôm sau kỹ thuật xuống Chờ mãi ko thấy kỹ thuật đâu mình tự xem hướng dẫn làm luôn
0,Tủ Lạnh Sharp Inverter 556L SJ-FX631V-SL ,14499000,76,Sharp,(C x R x D): 172 x 89 x 77 cm,626,4,Mình mua cho trước cho nhà mới  1 tuần nữa mới sử dụng nên chưa đánh giá được sản phẩm  Nhưng có lời khen với nhân viên giao hàng rất nhiệt tình và hổ trợ Kh chu đáo
0,Tủ Lạnh Sharp Inverter 556L SJ-FX631V-SL ,14499000,76,Sharp,(C x R x D): 172 x 89 x 77 cm,626,4,Xứng đáng với số tiền bỏ ra Cửa hàng giao nhanh hơn dự kiến của Tiki rất nhiều Nhân viên lắp đặt chưa có nhiều kinh nghiệm nhưng cũng ok
