,index,name,number_of_comment,brand,Negative,Positive,price,volume(l),number_of_door,rank_point,rank
0,0,Tủ Lạnh Sharp Inverter 556L SJ-FX631V-SL ,76,Sharp,0.22186590386627292,0.7781340961337271,14499000.0,626.0,4.0,59.13819130616326,298
1,1,Tủ lạnh Samsung Inverter 208 lít RT19M300BGS/SV - Chỉ giao HCM ,147,Samsung,0.2952344677408969,0.7047655322591012,4269000.0,216.0,2.0,103.60053324208788,304
2,2,Tủ Lạnh Aqua 130 lít AQR-T150FA-BS ,32,Aqua,0.20965294800944517,0.7903470519905552,3499000.0,130.0,2.0,25.291105663697767,292
3,3,Tủ lạnh Samsung Inverter 208 lít RT19M300BGS/SV ,112,Samsung,0.23100320298102525,0.7689967970189729,4259000.0,216.0,2.0,86.12764126612497,303
4,4,Tủ Lạnh Inverter Samsung Rt35k5982s8/Sv (360l) - Hàng Chính Hãng ,13,Samsung,0.2026942953173719,0.7973057046826278,9279000.0,313.25,2.0,10.364974160874162,249
5,5,Tủ lạnh Sharp Inverter 165L SJ-X176E-DSS ,62,Sharp,0.20540537289197447,0.7945946271080256,3999000.0,165.0,2.0,49.26486688069759,301
6,6,Tủ lạnh Electrolux 85L EUM0900SA ,134,Electrolux,0.2716243397820491,0.7283756602179493,2690000.0,80.0,1.0,97.60233846920521,305
7,7,Tủ lạnh mini KEMIN (Dùng cả trên oto xe hơi và trong nhà) - Loại 10L ,1,OEM,0.15121122376086124,0.8487887762391386,1590000.0,51.0,1.0,0.8487887762391386,260
8,8,Tủ lạnh Samsung Inverter 208 lít RT19M300BGS/SV ,29,Samsung,0.1624181209926673,0.837581879007333,4269000.0,216.0,2.0,24.289874491212657,290
9,9,Tủ Lạnh Samsung Inverter 380L RT38K5930DX/SV ,16,Samsung,0.1647486153012612,0.835251384698739,10579000.0,380.0,2.0,13.364022155179825,245
10,10,Tủ Lạnh Sharp Inverter 556L SJ-FX630V-ST - Giao Tại HCM ,54,Sharp,0.2623390699863476,0.7376609300136525,14499000.0,626.0,4.0,39.83369022073724,288
11,11,Tủ Lạnh Sharp Inverter 556L SJ-FX630V-ST - Chỉ Giao tại Hà Nội ,39,Sharp,0.25203323303387376,0.7479667669661263,15490000.0,626.0,4.0,29.170703911678924,273
12,12,Tủ Lạnh Inverter Electrolux ETB2802H-A (255L) - Hàng Chính Hãng ,10,Electrolux,0.15902025444056173,0.8409797455594383,5129000.0,250.25,2.0,8.409797455594383,255
13,13,Tủ Lạnh Sharp Inverter 556L SJ-FX631V-SL ,33,Sharp,0.28824870261694413,0.7117512973830561,14799000.0,626.0,4.0,23.48779281364085,235
14,14,Tủ lạnh Panasonic Inverter 410 lít NR-BX460WKVN - HÀNG CHÍNH HÃNG ,16,Panasonic,0.35803272417834947,0.6419672758216504,16790000.0,410.0,2.0,10.271476413146406,211
15,15,Tủ lạnh Samsung 208 lít RT20HAR8DSA/SV ,52,Samsung ,0.25095079822916416,0.7490492017708359,5055000.0,197.25,2.0,38.950558492083466,297
16,16,Tủ Lạnh Inverter Samsung RT29K5012S8 (300L) - Hàng Chính Hãng ,17,Samsung,0.19025130369680393,0.8097486963031961,6379000.0,308.0,2.0,13.765727837154333,269
17,17,Tủ Lạnh Inverter Samsung RT29K5532S8/SV (299L) - Hàng chính hãng ,16,Samsung,0.16273911189965648,0.8372608881003435,6889000.0,305.0,2.0,13.396174209605496,268
18,18,Tủ Lạnh Inverter Sharp SJ-FX688VG-BK (605L) - Hàng Chính Hãng ,11,Sharp,0.2694079507011398,0.7305920492988601,18399000.0,605.0,4.0,8.036512542287461,69
19,19,Tủ Lạnh Inverter Samsung RB30N4010S8/SV (310L) - Hàng Chính Hãng ,19,Samsung,0.25374853750608095,0.746251462493919,7699000.0,310.0,2.0,14.178777787384462,270
20,20,Tủ lạnh Electrolux 46L EUM0500SB ,41,Electrolux,0.24940054553986404,0.7505994544601359,2309000.0,52.0,1.0,30.774577632865572,296
21,21,Tủ Lạnh Inverter Sharp SJ-FX631V-SL (556L) - Hàng chính hãng ,9,Sharp,0.1897165476654565,0.8102834523345434,13999000.0,626.0,4.0,7.29255107101089,63
22,22,Tủ lạnh Hitachi Inverter 509 lít R-FW650PGV8-GBK ,14,Hitachi,0.35849554051840193,0.6415044594815982,18499000.0,509.0,3.5,8.981062432742375,134
23,23,Tủ lạnh Aqua 90 lít AQR-D99FA(BS) ,33,Aqua,0.23732343944813525,0.7626765605518651,2529000.0,90.0,1.0,25.168326498211545,293
24,24,Tủ Lạnh Inverter Aqua AQR-IG525AM-GB (456L) – Đen - Hàng chính hãng ,9,Aqua,0.16872750492463254,0.8312724950753673,16149000.0,516.0,4.0,7.481452455678306,105
25,25,Tủ lạnh Sharp Inverter 182 lít SJ-X201E-SL ,65,Sharp,0.24572106064530333,0.7542789393546968,4190000.0,196.0,2.0,49.028131058055294,300
26,26,Tủ lạnh Sharp Inverter 165L SJ-X176E-DSS ,46,Sharp,0.2383010237566161,0.7616989762433839,4009000.0,165.0,2.0,35.03815290719566,295
27,27,Tủ lạnh Toshiba Inverter 194 lít GR-A25VS(DS1) - Hàng Chính Hãng - Chỉ Giao Hàng TP.HCM ,5,Toshiba,0.21816340976829135,0.7818365902317085,3999000.0,194.0,2.0,3.9091829511585425,237
28,28,Tủ lạnh Electrolux 85L EUM0900SA ,72,Electrolux,0.3334595571286682,0.6665404428713316,2559000.0,70.0,1.0,47.99091188673588,302
29,29,Tủ lạnh Sharp Inverter 182 lít SJ-X201E-DS ,65,Sharp,0.3387691604108439,0.6612308395891561,4239000.0,196.0,2.0,42.98000457329515,299
30,30,Tủ Lạnh Toshiba Inverter 511 Lít GR-RF610WE - Hàng chính hãng ,8,Toshiba,0.20751523593484528,0.7924847640651546,15890000.0,359.5,359.0,6.3398781125212365,136
31,31,Tủ Lạnh Inverter Samsung RB30N4180B1/SV (307L) - Hàng Chính Hãng ,4,Samsung,0.3556917481575305,0.6443082518424696,9999000.0,307.0,2.0,2.5772330073698786,166
32,32,Tủ lạnh Sharp Inverter 150 lít SJ-X176E-SL ,39,Sharp,0.3548335481689735,0.6451664518310265,3989000.0,161.75,2.0,25.161491621410033,291
33,33,Tủ Lạnh Samsung RT22M4040DX/SV Inverter 236 Lít - Hàng Chính Hãng ,5,Samsung,0.371208226095506,0.6287917739044938,4799000.0,241.0,2.0,3.143958869522469,218
34,34,Tủ lạnh Sharp Inverter 182 lít SJ-X201E-SL ,47,Sharp,0.2880488225354547,0.7119511774645454,4219000.0,196.0,2.0,33.46170534083363,294
35,35,Tủ Lạnh Inverter Samsung RT25HAR4DSA/SV (255L) - Bạc - Hàng chính hãng ,10,Samsung ,0.14196619118056725,0.8580338088194328,5780000.0,274.25,2.0,8.580338088194328,246
36,36,Tủ lạnh Aqua 90 lít AQR-D99FA(BS) ,17,Aqua,0.20545315130445518,0.794546848695545,2529000.0,90.0,1.0,13.507296427824265,287
37,37,Tủ lạnh LG SBS GR-D247JDS Inverter 601 Lít (HÀNG CHÍNH HÃNG) ,7,LG,0.17387706608259107,0.8261229339174091,25279000.0,540.0,3.0,5.782860537421864,75
38,38,Tủ lạnh Inverter Toshiba RF610WE-PMV(37)-SG (511L) - Hàng chính hãng - Chỉ giao tại HCM ,2,Toshiba,0.15121122376086124,0.8487887762391386,15869000.0,359.5,359.0,1.6975775524782772,76
39,39,Tủ Lạnh Mini Aqua AQR-D99FA-BS (90L) - Hàng Chính Hãng - Chỉ giao tại Hà Nội ,7,Aqua,0.18261746609331145,0.8173825339066886,2750000.0,90.0,1.0,5.72167773734682,278
40,40,Tủ lạnh Toshiba Inverter 493 lít GR-RS637WE-PMV(06)-MG - Hàng Chính Hãng - Chỉ Giao Hàng TP.HCM ,6,Toshiba,0.16913184477829304,0.8308681552217069,20479000.0,493.0,3.5,4.9852089313302415,87
41,41,Tủ Lạnh Mini Aqua AQR-D59FA-BS (50L) - Hàng Chính Hãng - Chỉ giao tại HCM ,7,Aqua,0.13332010591029755,0.8666798940897024,2449000.0,50.0,1.0,6.066759258627917,281
42,42,Tủ Lạnh LG InstaView Door-in-Door Inverter GR-X247MC (601L) - Chỉ giao tại HCM ,6,LG,0.16305800590306382,0.8369419940969361,39090000.0,668.0,3.5,5.021651964581617,30
43,43,Tủ lạnh LG Inverter 613 lít GR-B247JDS ,15,LG,0.33754879088231876,0.6624512091176813,15079000.0,679.0,2.0,9.93676813676522,64
44,44,Tủ Lạnh Inverter Sharp SJ-FX680V-ST (605L)-Hàng Chính Hãng ,4,Sharp,0.2212476114597337,0.7787523885402662,16479000.0,678.0,4.0,3.1150095541610647,11
45,45,Tủ Lạnh Inverter LG GN-D422BL (393L) – Hàng Chính Hãng ,1,LG,0.15121122376086124,0.8487887762391386,9190000.0,427.0,2.0,0.8487887762391386,78
