,index,name,number_of_comment,brand,Negative,Positive,price,size(inch),weight,rank_point,rank
0,0,Smart Tivi Samsung 4K 55 inch UA55TU8500,95,Samsung,0.237691220271133,0.7623087797288679,12500000.0,55.0,126.25,72.41933407424246,11
1,1,Smart Tivi Samsung 4K 50 inch UA50TU7000,60,Samsung,0.23899817196149023,0.7610018280385091,8779000.0,50.0,116.0,45.66010968231055,20
2,2,Smart Tivi Samsung 4K 50 inch UA50RU7100,280,Samsung,0.2133616830053708,0.7866383169946276,9553000.0,50.0,139.0,220.25872875849572,1
3,3,Smart Tivi LG Full HD 43 inch 43LM5700PTC,176,LG,0.210970571846997,0.7890294281530048,5979000.0,43.0,69.5,138.86917935492886,3
4,4,Smart Tivi Samsung 4K 55 inch UA55TU8100,62,Samsung,0.1917307681955141,0.8082692318044854,11279000.0,55.0,142.25,50.1126923718781,17
5,5,Smart Tivi Samsung 4K 70 inch UA70RU7200,83,Samsung,0.2286586533858957,0.7713413466141044,17599000.0,70.0,196.5,64.02133176897067,13
6,6,Android Tivi Sony 4K 55 Inch KD-55X7400H,25,Sony,0.28944117033149996,0.7105588296684998,13990000.0,55.0,108.5,17.763970741712495,52
7,7,Smart Tivi LG 4K 43 inch 43UM7400PTA,103,LG,0.20645321559486032,0.7935467844051411,7190000.0,43.0,9.0,81.73531879372953,9
8,8,Smart Tivi Sony 4K 55 inch KD-55X7000G,89,Sony,0.24260359495595393,0.757396405044046,11790000.0,55.0,174.0,67.40828004892009,12
9,9,Smart Tivi Toshiba Full HD 40 inch 40L5650,143,Toshiba,0.23191115962078887,0.7680888403792127,4279000.0,40.0,83.0,109.8367041742274,4
10,10,Smart Tivi Toshiba HD 32 inch 32L5650,68,Toshiba,0.20955648625743936,0.7904435137425603,2979000.0,32.0,45.0,53.750158934494095,18
11,11,Tivi LED Sharp HD 32 inch 2T-C32BD1X,117,Sharp,0.21490681655668156,0.7850931834433198,2479000.0,32.0,53.0,91.85590246286841,6
12,12,Smart Tivi Samsung 4K 55 inch UA55TU7000,32,Samsung,0.15625948878892892,0.8437405112110709,10390000.0,55.0,114.0,26.999696358754267,32
13,13,Smart Tivi LG 4K 49 inch 49SM8100PTA,72,LG,0.2466209490763714,0.7533790509236287,10979000.0,49.0,155.0,54.243291666501264,16
14,14,Smart Tivi Sony 4K 65 inch KD-65X7000G,45,Sony,0.22348578728593332,0.7765142127140662,16979000.0,65.0,216.0,34.94313957213298,26
15,15,Smart Tivi LG HD 32 inch 32LM570BPTC,65,LG,0.21012978678852165,0.7898702132114779,3990000.0,32.0,49.0,51.34156385874606,19
16,16,Smart Tivi LG 4K 55 inch 55SM8100PTA,54,LG,0.22945010231442103,0.7705498976855787,13890000.0,55.0,187.0,41.60969447502125,22
17,17,Smart Tivi LG 4K 55 inch 55UN7000PTA,13,LG,0.3560914077433597,0.6439085922566403,9950000.0,55.0,139.0,8.370811699336324,81
18,18,Android Tivi Sony 4K 55 inch KD-55X7500H,32,Sony,0.2132656007061308,0.7867343992938689,15490000.0,55.0,159.0,25.175500777403805,36
19,19,Tivi LED Samsung HD 32 inch UA32N4000A,59,Samsung,0.26673023215367736,0.7332697678463227,5450000.0,32.0,39.0,43.262916302933036,24
20,20,Smart Tivi Samsung 4K 65 inch UA65TU7000,16,Samsung,0.12114585653086614,0.8788541434691342,16450000.0,65.0,209.0,14.061666295506146,61
21,21,Smart Tivi Sharp Full HD 42 inch 2T-C42BG1X,33,Sharp,0.2318487969542483,0.7681512030457514,4679000.0,36.75,33.75,25.348989700509794,40
22,22,Smart Tivi Samsung HD 32 inch UA32N4300A,104,Samsung,0.23025021102897786,0.7697497889710233,4379000.0,32.0,39.0,80.05397805298642,10
