,index,name,brand,price,number_of_comment,hardware_size(GB),RAM(GB),display(inch),Negative,Positive,rank
0,0,"Laptop HP ENVY 13-ba0046TU (Intel core i5-1035G4  RAM 8GB  512GB SSD  13.3""FHD  Win10 Home 64 Office Gold_171M7PA - Hàng Chính Hãng ",HP,21490000.0,6.0,409.6,8.0,14.179999999999998,0.14995900680293864,0.8500409931970615,120
1,1,"Laptop HP Pavilion Gaming 15-dk1074TX  Core i7-10750H(2.60 GHz  12 MB) 8GB RAM 512GB SSD GeForce GTX 1650 4GB 15.6""""FHD Wlan ax+BT Win 10 Home 1Y WTY_1K3U8PA - Hàng Chính Hãng ",HP,25490000.0,2.0,409.8,9.6,14.959999999999999,0.13075890868815365,0.8692410913118465,118
2,2,Laptop HP EliteBook x360 1030 G4 6MJ72AV (Core i5-8265U/ 8GB DDR4 2133Mhz/ 512GB PCIe NVMe/ 13.3 FHD IPS Touch/ Win10) - Hàng Chính Hãng ,HP,39990000.0,0.0,512.0,8.0,13.3,0.5,0.5,65
3,3,"Laptop HP Pavilion Gaming 15-dk1075TX  Core i7-10750H  8GB RAM  512GB SSD  GeForce GTX 1650Ti 4GB  15.6""FHD  Win 10 Home_1K3V0PA - Hàng Chính Hãng ",HP,25490000.0,0.0,409.8,9.6,14.959999999999999,0.5,0.5,111
4,4,Apple Macbook Air 2020 - 13 s (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng ,Apple,24299000.0,51.0,384.0,8.0,14.040000000000001,0.26081317436900225,0.7391868256309986,216
5,5,Apple Macbook Pro 2020 - 13 s (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng ,Apple,31299000.0,29.0,256.0,8.0,13.0,0.23512618701043195,0.7648738129895684,219
6,6,Apple Macbook Pro 2020 M1 - 13 s (Apple M1/ 8GB/ 256GB) - Hàng Nhập Khẩu Chính Hãng ,Apple,33999000.0,6.0,256.0,8.0,14.959999999999999,0.3687177829019068,0.6312822170980932,182
7,7,Laptop Lenovo Ideapad S145-14API-81UV008GVN (AMD R3-3200U/ 4GB DDR4 2400MHz/ 256GB SSD M.2 NVMe/ 14 FHD/ Win10) - Hàng Chính Hãng , Lenovo,8199000.0,25.0,256.0,4.0,14.0,0.18550118897682552,0.8144988110231748,218
8,8,Laptop MSI GF63 Thin 9SCXR-075VN (Core i5-9300H/ 8GB DDR4 2666MHz/ 512GB SSD M.2 PCIE/ GTX 1650 4GB GDDR6/ 15.6 FHD IPS/ Win10) - Hàng Chính Hãng ,MSI,17719000.0,6.0,512.0,8.0,15.6,0.13378181402760234,0.8662181859723977,100
9,9,Laptop Asus VivoBook 14 A412FA-EK1188T (Core i3-10110U/ 4GB/ 256GB SSD/ 14 FHD/ Win10) - Hàng Chính Hãng ,Asus,11890000.0,6.0,256.0,4.0,14.0,0.10120209584077665,0.8987979041592234,207
