index,name,brand,price,number_of_comment,pin(mAh),weight(g),screen_size(inch),Negative,Positive,rank_point
0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,Nokia,350000,324,800,73,1.77,0.191373573,0.808626427,261.9949623
1,Điện Thoại Nokia 105 Single Sim - Hàng Chính Hãng ,Nokia,340000,280,800,73,1.77,0.204793458,0.795206542,222.6578318
2,Điện Thoại Nokia 150 Dual Sim - Hàng Chính Hãng ,Nokia,599000,34,800,100,2.4,0.297023763,0.702976237,23.90119206
3,Điện Thoại Nokia 150 (2020) - Hàng Chính Hãng ,Nokia,590000,128,800,90,2.4,0.179593864,0.820406136,105.0119854
4,Điện Thoại Nokia 6300 4G - Hàng Chính Hãng ,Nokia,1150000,25,800,96.4,2.4,0.299342107,0.700657893,17.51644732
5,Điện Thoại Nokia 215 4G - Hàng Chính Hãng ,Nokia,660000,12,800,90,2.4,0.235133575,0.764866425,9.1783971
6,Điện Thoại Di Động GSM ZONO N8110 2.4inch - Hàng Nhập Khẩu ,Zono,208000,251,800,136.4,1.896,0.238317931,0.761682069,191.1821993
7,Điện Thoại Nokia 5310 (2020) - Hàng Chính Hãng ,Nokia,880000,121,800,88,2.4,0.178594774,0.821405226,99.39003235
8,Điện thoại Nokia 150 (2020) - Hàng chính hãng - Đen ,Nokia,620000,4,800,90,2.28,0.20754583,0.79245417,3.16981668
9,ĐIỆN THOẠI DI ĐỘNG NGƯỜI GIÀ MASSTEL FAMI 11 loa to  sóng khỏe 2 sim bàn phím đọc số FM không dây dùng sim Viettel Vinaphone Mobifone hàng chính hãng ,Masstel,325000,21,800,144.2,2.028,0.163548912,0.836451088,17.56547285
10,Điện Thoại Trẻ Em MKIDS - Hàng Chính Hãng Của Viettel - Chỉ Định Vị Bằng Sim Viettel ,Viettel,330000,226,800,144.2,2.028,0.239238982,0.760761018,171.9319901
11,Điện Thoại Itel IT2163 - Hàng Chính Hãng ,Itel,209000,64,800,114,1.77,0.175533822,0.824466178,52.76583539
12,Điện Thoại Nokia 210 - Hàng Chính Hãng ,Nokia,720000,81,800,103,2.4,0.186720939,0.813279061,65.87560394
