,index,name,number_of_comment,brand,Negative,Positive,price,pin(mAh),weight(g),screen_size(inch),rank_point,rank
0,0,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng ,324,Nokia,0.19141304560840197,0.8085869543916,350000.0,800.0,73.0,1.77,261.9821732228784,1
1,1,Điện Thoại Nokia 105 Single Sim - Hàng Chính Hãng ,280,Nokia,0.20502249366125777,0.7949775063387443,340000.0,800.0,73.0,1.77,222.5937017748484,2
2,2,Điện Thoại Nokia 150 Dual Sim - Hàng Chính Hãng ,34,Nokia,0.2986047110869707,0.7013952889130293,599000.0,1020.0,100.0,2.4,23.847439823042997,19
3,3,Điện Thoại Nokia 150 (2020) - Hàng Chính Hãng ,128,Nokia,0.17936178087409554,0.8206382191259071,590000.0,1020.0,90.0,2.4,105.0416920481161,5
4,4,Điện Thoại Nokia 6300 4G - Hàng Chính Hãng ,25,Nokia,0.30068508198047034,0.6993149180195295,1150000.0,1500.0,96.4,2.4,17.482872950488236,40
5,5,Điện Thoại Nokia 215 4G - Hàng Chính Hãng ,12,Nokia,0.2360953392027427,0.763904660797257,660000.0,1150.0,90.0,2.4,9.166855929567085,41
6,6,Điện Thoại Di Động GSM ZONO N8110 2.4inch - Hàng Nhập Khẩu ,251,Zono,0.23900529945194082,0.7609947005480601,208000.0,1020.0,136.4,1.8959999999999997,191.00966983756308,3
7,7,Điện Thoại Nokia 5310 (2020) - Hàng Chính Hãng ,121,Nokia,0.17841191158365763,0.8215880884163446,880000.0,1200.0,88.0,2.4,99.4121586983777,6
8,8,Điện thoại Nokia 150 (2020) - Hàng chính hãng - Đen ,4,Nokia,0.20769666139928653,0.7923033386007133,620000.0,1020.0,90.0,2.2800000000000002,3.1692133544028533,47
9,9,ĐIỆN THOẠI DI ĐỘNG NGƯỜI GIÀ MASSTEL FAMI 11 loa to  sóng khỏe 2 sim bàn phím đọc số FM không dây dùng sim Viettel Vinaphone Mobifone hàng chính hãng ,21,Masstel,0.16315663172759318,0.8368433682724066,325000.0,1610.0,144.2,2.028,17.57371073372054,43
10,10,Điện Thoại Trẻ Em MKIDS - Hàng Chính Hãng Của Viettel - Chỉ Định Vị Bằng Sim Viettel ,226,Viettel,0.24007572282002823,0.759924277179973,330000.0,1690.0,144.2,2.028,171.7428866426739,4
11,11,Điện Thoại Itel IT2163 - Hàng Chính Hãng ,64,Itel,0.1754417200933938,0.8245582799066065,209000.0,1000.0,114.0,1.77,52.77172991402281,8
12,12,Điện Thoại Nokia 210 - Hàng Chính Hãng ,81,Nokia,0.18678438170476802,0.8132156182952326,720000.0,1020.0,103.0,2.4,65.87046508191384,7
13,13,Điện Thoại Nokia 110 Dual Sim (2019) - Hàng Chính Hãng ,59,Nokia,0.21477870540512561,0.7852212945948748,460000.0,800.0,140.0,1.8,46.32805638109761,9
14,14,Điện thoại Energizer E12 - Hàng Chính Hãng ,58,Energizer,0.21003178342498469,0.7899682165750153,270000.0,1440.2,187.6,2.022,45.81815656135088,14
15,15,Điện thoại THTphone F7 ,42,THT,0.2854375128684007,0.7145624871315995,139000.0,840.0,136.4,1.8960000000000001,30.01162445952718,15
16,16,Điện thoại Nokia 8000 4G - Hàng chính hãng ,1,Nokia,0.14951814381172512,0.8504818561882748,1590000.0,1500.0,110.0,2.8,0.8504818561882748,65
17,17,Điện thoại Energizer E241S - Hàng Chính Hãng ,33,Energizer,0.34044122396063875,0.6595587760393612,890000.0,1214.0,92.4,2.1900000000000004,21.76543960929892,23
18,18,Điện Thoại Di Động GSM ZONO N8110 1.8inch – Hàng Nhập Khẩu ,54,Zono,0.26749115138606655,0.7325088486139338,148000.0,840.0,136.4,1.8960000000000001,39.55547782515243,12
19,19,Điện thoại Mobell C106 - Hàng chính hãng ,12,Mobell,0.11204074740828196,0.8879592525917179,159000.0,840.0,136.4,1.8960000000000001,10.655511031100616,26
20,20,Điện thoại Energizer E100 -Hàng Chính Hãng ,25,Energizer,0.26418037911712405,0.7358196208828759,450000.0,1311.0,140.0,2.2800000000000002,18.395490522071896,29
21,21,Điện thoại di động Forme D777 - Hàng Chính Hãng ,14,Forme,0.1722207889079833,0.8277792110920164,399000.0,5700.0,156.8,2.4799999999999995,11.588908955288229,88
22,22,Điện Thoại Nokia 230 Dual SIM - Hàng Chính Hãng ,39,Nokia,0.2270414171804,0.7729585828195997,1149000.0,1200.0,91.0,2.8,30.14538472996439,18
23,24,Điện thoại Masstel IZI 230 ,4,Masstel,0.26501157607644743,0.7349884239235525,280000.0,1700.0,172.6,2.4,2.93995369569421,66
24,25,Điện thoại Mobell C310 - Hàng chính hãng ,44,Mobell,0.1858679422714558,0.8141320577285444,199000.0,980.0,136.4,1.8960000000000001,35.82181054005595,13
25,26,Điện thoại Masstel Izi 112 - Hàng chính hãng ,17,Masstel,0.22172931111395036,0.7782706888860498,180000.0,840.0,136.4,1.8960000000000001,13.230601711062846,22
26,27,Điện thoại Mobell M118 - Hàng Nhập Khẩu ,12,Mobell,0.17776868856635733,0.8222313114336425,189000.0,840.0,136.4,1.8960000000000001,9.86677573720371,28
27,28,Điện Thoại Masstel F50 - Hàng Chính Hãng ,50,Masstel,0.17703773877278448,0.8229622612272156,345000.0,800.0,116.4,2.4,41.14811306136078,11
