index,name,brand,price,number_of_comment,pin,rear_cam,front_rear,weight,RAM,screen_size,Negative,Positive,rank_point
0,Điện thoại Vivo Y11 (3GB/32GB) - Hàng chính hãng ,Vivo,2550000,122,5,13,8,190,3,6.35,0.186777819,0.813222181,99.21310606
1,Điện Thoại Samsung Galaxy M31 (128GB/6GB) - Hàng Chính Hãng ,Samsung,5190000,500,6,6.4,32,191,6,6.4,0.223813706,0.776186294,388.093147
2,Điện Thoại iPhone 12 Pro Max (6GB/128GB) - Hàng Chính Hãng ,Apple,32990000,212,3.6078,12,12,228,5.6,6.7,0.212427662,0.787572338,166.9653356
3,Điện Thoại iPhone 12 Pro Max (6GB/256GB) - Hàng Chính Hãng ,Apple,34990000,236,3.6078,12,12,228,5.6,6.7,0.202177522,0.797822478,188.2861048
4,Điện Thoại Vivo Y30i (4GB/128GB) - Hàng Chính Hãng ,Vivo,2850000,113,5,13,8,197,4,6.47,0.160990416,0.839009584,94.808083
5,Điện Thoại Xiaomi Redmi 9 - Hàng Chính Hãng ,Xiaomi,2890000,148,5.02,13,8,198,3,6.53,0.156454683,0.843545317,124.844707
6,Điện Thoại iPhone 11 64GB - Hàng Chính Hãng ,Apple,16450000,404,3.586,12,12,194,4,6.1,0.238793074,0.761206926,307.5275982
7,Điện Thoại Vsmart Active 3 - Hàng Chính Hãng ,Vsmart,3390000,500,4.02,48,16,183,6,6.39,0.269312049,0.730687951,365.3439755
8,Điện Thoại Samsung Galaxy M11 (32GB/3GB) - Hàng Chính Hãng ,Samsung,3150000,500,5,12,8,197,3,6.4,0.193940324,0.806059676,403.029838
9,ĐIỆN THOẠI XIAOMI REDMI NOTE 9S - HÀNG CHÍNH HÃNG ,Xiaomi,4390000,325,5.02,48,16,209,5.4,6.494,0.208930796,0.791069204,257.0974912
10,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng ,Xiaomi,1910000,126,5,13,5,194,2,6.53,0.1666159,0.8333841,105.0063966
11,Điện Thoại Vsmart Joy 4 - Hàng Chính Hãng ,Vsmart,3050000,500,5,16,13,216,4,6.53,0.184093524,0.815906476,407.9532378
12,Điện Thoại iPhone 12 128GB - Hàng Chính Hãng ,Apple,23890000,117,3.8698,12,12,164,4,6.1,0.219350691,0.780649309,91.33596912
13,Điện Thoại Realme C3 (3GB/32GB) - Hàng Chính Hãng ,Realme,2430000,272,5,12,5,195,3,6.5,0.177005652,0.822994348,223.8544627
14,Điện Thoại Samsung Galaxy A71 (128GB/8GB) - Hàng Chính Hãng ,Samsung,7490000,226,4.5,6.4,32,179,8,6.7,0.179935866,0.820064134,185.3344943
15,Điện Thoại Samsung Galaxy A11 (32GB/3GB) - Hàng Chính Hãng ,Samsung,3190000,227,4,13,8,177,3,6.4,0.173969094,0.826030906,187.5090158
16,Điện Thoại iPhone XR (3GB/64GB) - Hàng Chính Hãng VN/A ,Apple,11990000,190,3.848,12,7,194,3,6.1,0.230091107,0.769908893,146.2826897
17,Điện thoại Xiaomi Redmi Note 9 Pro - Hàng Chính Hãng ,Xiaomi,5350000,261,5.02,6.4,16,209,6.4,6.37,0.205025843,0.794974157,207.4882551
18,Điện Thoại iPhone 12 64GB - Hàng Chính Hãng ,Apple,22490000,66,3.458,12,12,164,4,6.1,0.206783463,0.793216537,52.35229142
19,Điện Thoại Xiaomi Redmi 9C - Hàng Chính Hãng ,Xiaomi,2680000,53,5,13,5,177.6,2.8,6.288,0.17936118,0.82063882,43.49385746
20,Điện thoại Vivo Y12s - Hàng Chính Hãng ,Vivo,3490000,7,5,13,8,191,3,6.478,0.100662355,0.899337645,6.295363513
21,Điện Thoại Samsung Galaxy A11 (32GB/3GB) - Hàng Chính Hãng - (Đã kích hoạt bảo hành điện tử) ,Samsung,2990000,67,5.046,13.6,7.8,195.2,3.6,6.434,0.190078761,0.809921239,54.26472304
22,Điện Thoại Samsung Galaxy S20 FE - Hàng Chính Hãng ,Samsung,14590000,94,4.5,12,32,190,8,6.5,0.199277645,0.800722355,75.26790138
23,Điện Thoại iPhone 11 128GB - Hàng Chính Hãng ,Apple,17950000,198,3.11,12,12,194,4,6.1,0.246614105,0.753385895,149.1704073
24,Điện Thoại Oppo A73 2020 (6GB/128GB) - Hàng Chính Hãng ,OPPO,4499000,243,4.015,16,16,163,6,6.44,0.158347731,0.841652269,204.5215013
25,Điện Thoại iPhone 12 Pro 256GB - Hàng Chính Hãng ,Apple,32990000,57,3.6078,12,12,189,5.6,6.1,0.193202333,0.806797667,45.98746703
26,Điện Thoại Samsung Galaxy A21s - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng ,Samsung,3750000,92,5,48,13,192,3,6.5,0.164590283,0.835409717,76.85769398
27,Điện Thoại Samsung Galaxy A10s (32GB/2GB) - Hàng Chính Hãng ,Samsung,2690000,165,4,13,8,168,2,6.2,0.178189937,0.821810063,135.5986604
28,Điện Thoại iPhone 11 64GB - Hàng Nhập Khẩu ,Apple,15350000,48,3.11,20.6,12,194,4,6,0.265401144,0.734598856,35.26074507
29,Điện Thoại Realme 6 (8GB/128GB) - Hàng Chính Hãng ,Realme,4590000,131,4.3,6.4,16,191,8,6.454,0.189057735,0.810942265,106.2334367
30,Điện Thoại Vsmart Joy 3 - Hàng chính hãng ,Vsmart,2290000,500,5,13,8,192,2,6.5,0.278913957,0.721086043,360.5430213
31,Điện thoại Vsmart Star 4 (2GB/16GB) - Hàng chính hãng ,Vsmart,1750000,39,3.5,8,8,165,2,6.09,0.138796823,0.861203177,33.5869239
32,Điện Thoại Vsmart Live 4 (6GB/64GB) - Hàng Chính Hãng ,Vsmart,3790000,342,5,48,13,217,6,6.5,0.179679973,0.820320027,280.5494491
33,Điện Thoại iPhone 12 Mini 64GB - Hàng Chính Hãng ,Apple,18990000,26,3.426,12,12,135,4,5.4,0.236599369,0.763400631,19.8484164
34,Điện Thoại Oppo A53 2020 (4GB/128GB) - Hàng Chính Hãng ,OPPO,3850000,49,5,16,16,186,4,6.5,0.164375809,0.835624191,40.94558535
35,Điện thoại Xiaomi POCO X3 - Hàng Chính Hãng ,Xiaomi,5250000,101,5.16,6.4,20,215,6,6.35,0.196387021,0.803612979,81.16491084
36,Điện Thoại iPhone 12 Mini 128GB - Hàng Chính Hãng ,Apple,20250000,22,3.426,12,12,135,4,5.4,0.212724673,0.787275327,17.3200572
37,Điện Thoại Samsung Galaxy A01 (2GB/16GB) - Hàng Chính Hãng ,Samsung,2290000,135,3,13,5,149,2,5.7,0.20778776,0.79221224,106.9486524
38,Điện Thoại Samsung Galaxy Note 20 (8GB/256GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng ,Samsung,14990000,80,4.3,6.4,10,192,8,6.7,0.212674959,0.787325041,62.98600331
39,Điện Thoại Realme C11 (2GB/32GB) - Hàng Chính Hãng ,Realme,2479000,11,5,13,5,196,2,6.5,0.144515437,0.855484563,9.410330197
40,Điện Thoại Vivo Y20 - Hàng Chính Hãng ,Vivo,3590000,6,5,13,8,192,4,6.5,0.130300591,0.869699409,5.218196455
41,Điện Thoại Samsung Galaxy Note 20 Ultra (8GB/256GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng ,Samsung,19950000,63,4.5,10.8,10,208,8,6.9,0.231749506,0.768250494,48.39978113
42,Điện Thoại Samsung Galaxy A20s - Hàng Chính Hãng ,Samsung,3790000,184,4,13,8,197.2,3,6.5,0.203562671,0.796437329,146.5444685
43,Điện Thoại Samsung Galaxy Note 20 Ultra (256GB/8GB) - Hàng Chính Hãng ,Samsung,27990000,85,4.5,10.8,10,208,8,6.9,0.223130861,0.776869139,66.03387685
44,Điện Thoại OPPO Reno 2F (8GB/128G) - Hàng Chính Hãng ,OPPO,5550000,68,4,48,16,195,8,6.5,0.248206704,0.751793296,51.12194413
45,Điện Thoại Oppo A12 (3GB/32GB) - Hàng Chính Hãng ,OPPO,2690000,60,4.23,13,5,165,3,6.22,0.152809335,0.847190665,50.83143993
46,Điện Thoại Samsung Galaxy A51 (6GB/128GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng ,Samsung,5990000,425,4,48,32,172,6,6.5,0.211302037,0.788697963,335.1966343
47,Điện Thoại Vsmart Bee 3 (2GB/16GB) - Hàng Chính Hãng ,Vsmart,1390000,114,3,8,5,170,2,6,0.213745321,0.786254679,89.63303342
48,Điện thoại Xiaomi Redmi Note 9 (4GB/128GB) - Hàng chính hãng ,Xiaomi,4490000,74,5.02,48,13,199,4,6.53,0.215996313,0.784003687,58.01627284
49,Điện Thoại iPhone 11 128GB - Hàng Nhập Khẩu ,Apple,17900000,28,3.11,12,12,194,4,6,0.263777746,0.736222254,20.6142231
