,index,name,number_of_comment,brand,Negative,Positive,price,pin,rear_cam,front_rear,weight,RAM,screen_size,rank_point,rank
0,0,Điện thoại Vivo Y11 (3GB/32GB) - Hàng chính hãng ,122,Vivo,0.18701203341561612,0.8129879665843853,2550000.0,5.0,13.0,8.0,190.0,3.0,6.35,99.18453192329501,25
1,1,Điện Thoại Samsung Galaxy M31 (128GB/6GB) - Hàng Chính Hãng ,500,Samsung,0.22416383862121395,0.7758361613787902,5190000.0,6.0,64.0,32.0,191.0,6.0,6.4,387.9180806893951,3
2,2,Điện Thoại iPhone 12 Pro Max (6GB/128GB) - Hàng Chính Hãng ,212,Apple,0.2126925543909984,0.7873074456089987,32990000.0,3.6186249999999998,12.0,12.0,228.0,5.0,6.7,166.90917846910773,15
3,3,Điện Thoại iPhone 12 Pro Max (6GB/256GB) - Hàng Chính Hãng ,236,Apple,0.20240909427679526,0.7975909057232011,34990000.0,3.6186249999999998,12.0,12.0,228.0,5.0,6.7,188.23145375067546,14
4,4,Điện Thoại Vivo Y30i (4GB/128GB) - Hàng Chính Hãng ,113,Vivo,0.16105604562125458,0.8389439543787474,2850000.0,5.0,13.0,8.0,197.0,4.0,6.47,94.80066684479846,27
5,5,Điện Thoại Xiaomi Redmi 9 - Hàng Chính Hãng ,148,Xiaomi,0.1565089502602343,0.8434910497397677,2890000.0,5.02,13.0,8.0,198.0,3.0,6.53,124.83667536148563,21
6,6,Điện Thoại iPhone 11 64GB - Hàng Chính Hãng ,404,Apple,0.2391946298681168,0.7608053701318813,16450000.0,3.83125,12.0,12.0,194.0,4.0,6.1,307.36536953328005,7
7,7,Điện Thoại Vsmart Active 3 - Hàng Chính Hãng ,500,Vsmart,0.2698920936112914,0.7301079063887093,3390000.0,4.02,48.0,16.0,183.0,6.0,6.39,365.0539531943546,5
8,8,Điện Thoại Samsung Galaxy M11 (32GB/3GB) - Hàng Chính Hãng ,500,Samsung,0.1941529661911207,0.8058470338088815,3150000.0,5.0,12.0,8.0,197.0,3.0,6.4,402.9235169044407,2
9,9,ĐIỆN THOẠI XIAOMI REDMI NOTE 9S - HÀNG CHÍNH HÃNG ,325,Xiaomi,0.20917320365547123,0.7908267963445236,4390000.0,5.02,48.0,16.0,209.0,5.625,6.47125,257.01870881197016,9
10,10,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng ,126,Xiaomi,0.1667162489058794,0.8332837510941227,1910000.0,5.0,13.0,5.0,194.0,2.0,6.53,104.99375263785946,22
11,11,Điện Thoại Vsmart Joy 4 - Hàng Chính Hãng ,500,Vsmart,0.18427174764265128,0.8157282523573509,3050000.0,5.0,16.0,13.0,216.0,4.0,6.53,407.86412617867546,1
12,12,Điện Thoại iPhone 12 128GB - Hàng Chính Hãng ,117,Apple,0.21966432712939715,0.7803356728706046,23890000.0,3.6186249999999998,12.0,12.0,164.0,4.0,6.1,91.29927372586073,31
13,13,Điện Thoại Realme C3 (3GB/32GB) - Hàng Chính Hãng ,272,Realme,0.1771542467638633,0.822845753236132,2430000.0,5.0,12.0,5.0,195.0,3.0,6.5,223.8140448802279,10
14,14,Điện Thoại Samsung Galaxy A71 (128GB/8GB) - Hàng Chính Hãng ,226,Samsung,0.1800785315466812,0.8199214684533159,7490000.0,4.5,64.0,32.0,179.0,8.0,6.7,185.3022518704494,16
15,15,Điện Thoại Samsung Galaxy A11 (32GB/3GB) - Hàng Chính Hãng ,227,Samsung,0.17407489603757878,0.8259251039624188,3190000.0,4.0,13.0,8.0,177.0,3.0,6.4,187.48499859946907,13
16,16,Điện Thoại iPhone XR (3GB/64GB) - Hàng Chính Hãng VN/A ,190,Apple,0.23044446772985794,0.769555532270141,11990000.0,4.095,12.0,7.0,194.0,3.0,6.1,146.21555113132678,17
17,17,Điện thoại Xiaomi Redmi Note 9 Pro - Hàng Chính Hãng ,261,Xiaomi,0.20526119766874829,0.7947388023312474,5350000.0,5.02,64.0,16.0,209.0,6.5,6.130000000000001,207.42682740845558,12
18,18,Điện Thoại iPhone 12 64GB - Hàng Chính Hãng ,66,Apple,0.2070504310873493,0.7929495689126519,22490000.0,3.434875,12.0,12.0,164.0,4.0,6.1,52.33467154823502,42
19,19,Điện Thoại Xiaomi Redmi 9C - Hàng Chính Hãng ,53,Xiaomi,0.17943386637713882,0.8205661336228621,2680000.0,5.0,13.0,5.0,185.25,2.75,6.37125,43.49000508201169,43
