,index,name,number_of_comment,brand,Negative,Positive,price,pin(ah),front_cam(MP),rear_cam(MP),weight,RAM(GB),rank_point,rank
0,0,iPad 10.2 Inch WiFi 32GB (Gen 8) New 2020 - Hàng Chính Hãng ,183,Apple,0.19781088884889672,0.8021891111511033,8490000.0,4.034285714285714,8.0,2.142857142857143,495.0,7.285714285714286,146.8006073406519,28
1,1,iPad 10.2 Inch WiFi 128GB (gen 8) New 2020 - Hàng Chính Hãng ,38,Apple,0.20200162278306416,0.7979983772169358,10950000.0,4.034285714285714,8.0,1.0,495.0,3.142857142857143,30.32393833424356,22
2,2,iPad Pro 11 inch (2020) Wifi - Hàng Nhập Khẩu Chính Hãng ,60,Apple,0.20909633512672202,0.790903664873279,20490000.0,2.8,12.0,7.0,471.0,6.0,47.45421989239674,3
3,3,Combo Máy Đọc Sách Kindle Paperwhite Gen 10 (8GB - Màu Đen) và Bao da WELL BEGUN - Hàng nhập khẩu ,65,Kindle,0.2793856401856114,0.7206143598143891,3019000.0,4.35,3.7142857142857144,1.4285714285714286,298.2857142857143,1.5714285714285714,46.8399333879353,4
4,4,iPad Air 10.9 Wi-Fi 64GB New 2020 - Hàng Chính Hãng ,46,Apple,0.24024090072804682,0.7597590992719536,15490000.0,3.634285714285714,12.0,7.0,458.0,3.857142857142857,34.94891856650987,7
5,5,iPad 10.2 Inch WiFi 32GB New 2019 - Hàng Nhập Khẩu Chính Hãng ,419,Apple,0.2688207955515761,0.7311792044484268,9990000.0,3.2,8.0,1.0,483.0,3.0,306.3640866638908,17
6,6,iPad Air 10.9 Wi-Fi 256GB New 2020 - Hàng Chính Hãng ,16,Apple,0.21115012176586972,0.7888498782341302,18990000.0,3.142857142857143,12.0,7.0,458.0,5.142857142857143,12.621598051746084,12
7,7,iPad Pro 11 inch Wifi 2020 - Hàng Nhập Khẩu ,16,Apple,0.16315901874745006,0.8368409812525499,22400000.0,2.8,12.0,7.0,471.0,6.0,13.389455700040799,1
8,8,iPad Pro 12.9 inch (2020) Wifi - Hàng Nhập Khẩu ,9,Apple,0.20214233855348665,0.7978576614465136,24300000.0,3.6,12.0,7.0,482.2857142857143,6.0,7.180718953018623,16
9,9,iPad Air 10.5 Wi-Fi 64GB New 2019 - Nhập Khẩu Chính Hãng ,277,Apple,0.28279747718150433,0.7172025228184971,11990000.0,4.034285714285714,8.0,7.0,456.0,3.0,198.66509882072367,2
10,10,iPad 10.2 Inch WiFi 128GB New 2019 - Hàng Nhập Khẩu Chính Hãng ,156,Apple,0.24697865530939117,0.7530213446906073,9990000.0,3.2,8.0,1.0,483.0,3.0,117.47132977173474,6
11,11,"Máy Tính Bảng Samsung Galaxy Tab A8 8"" T295 - Hàng Chính Hãng ",282,Samsung,0.22501036630021806,0.7749896336997846,3490000.0,5.1,8.0,2.0,347.0,2.0,218.54707670333926,15
12,12,iPad Air 10.9 Wi-Fi + Cellular 64GB New 2020 - Hàng Chính Hãng ,6,Apple,0.2199007591694028,0.7800992408305972,18490000.0,3.142857142857143,12.0,7.0,458.0,5.142857142857143,4.680595444983584,21
13,13,Máy Tính Bảng Kindle Fire HD10(9th) 32GB (2019) - Hàng Nhập Khẩu - Balck ,11,Amazon,0.220375117984049,0.7796248820159511,3245000.0,6.3,2.0,2.0,504.0,2.0,8.575873702175462,5
14,14,Máy Tính Bảng Samsung Galaxy Tab S6 Lite (SM-P615N) - Hàng Chính Hãng ,26,Samsung,0.24274895532903631,0.7572510446709637,7990000.0,7.04,8.0,5.0,467.0,4.0,19.688527161445055,19
15,15,iPad Pro 11 inch (2020) Wifi Cellular - Hàng Nhập Khẩu Chính Hãng ,9,Apple,0.20323326009526244,0.7967667399047378,23750000.0,2.8,12.0,7.0,417.0,6.0,7.1709006591426405,10
