,text_lb,text
2,1.0,"Ấn tượng, tôi sẽ quay lại vào dịp nghỉ lần sau"
3,1.0,"Quá tuyệt vời , view đẹp , chủ nhà thân thiện nấu ăn ngon , giá cả phù hợp , đây là địa điểm thích hợp khi chúng tôi nghỉ ở tại hồ ba bể "
6,1.0,"Phòng nghỉ đáng giá, tiện nghi cơ bản đầy đủ ^^ 
Các bạn nhân viên nhiệt tình, tư vấn cẩn thận, cho mang cả cún đi là mình thích rồi ^^
Có thang máy, phòng sạch sẽ ^^ "
7,1.0,"Thuận tiện cho việc đi thăm thú cảnh quan.
Bạn nhân viên nam nhiệt tình và giới thiệu cho mình quán cơm ngon"
10,1.0,Nhân viên thân thiện
11,1.0,Phòng sạch
15,1.0,"Ấn tượng anh chủ, phòng sạch sẽ, nệm êm, giá hạt rẻ. Lần tới đi Hà Giang lại ở tiếp."
18,1.0,Chú chủ cho xem phòng trước
20,1.0,Tuyệt vời
27,1.0,"Hostel nhỏ xinh, phòng khá ấm cúng và tiện nghi vừa đủ, anh chủ dễ thương support tận tình, cuối cùng mình cũng mua một tour trải nghiệm Hà Giang mà anh ý giới thiệu và khá hài lòng về chất lượng dịch vụ."
28,1.0,"Just wonderful, stayed for only one night but ended up book their 3 days 2 nights tour. It was a really fun ride and full of surprise, I'm not regret coming here, in this beautiful country. I return to the hostel and stayed another night, fall asleep right after get out of the shower because I was exhausted from the trip on my comfy bed. Really nice host, he arrange a bus back to Hanoi for me. Highly recommend this hostel and their wonderful services."
33,1.0,"The most welcoming place I've stayed, everyone here is lovely. Quiet and peaceful."
34,1.0,"Mình ưng mọi thứ ở đây, từ không gian, nhân viên, buồng phòng và giá tiền. Không gian mở, khạch sạn còn mới nên phòng ốc sạch sẽ nhìn ưa mắt, nhân viên nhiệt tình niềm nở tiếp đón khách rất chi là ân cần, phòng hơi nhỏ nhưng bù lại rất nhiều ánh sáng tự nhiên nên không có cảm giác chật chội, và chất lượng dịch vụ thì miễn chê so với số tiền mình bỏ ra."
36,1.0,"Giá cả hợp lý, phòng ngủ rộng, cửa sổ đón nắng thoáng mát."
37,1.0,"Quá tuyệt , mọi thứ rất tốt ah. Phòng ốc sạch đẹp lắm cơ
Các bạn nhân viên luôn nhiệt tình tư vấn giúp 
Hy vọng lần sau ghé lại."
39,1.0,"Emerge yourself between nature, at this beautiful hotel. Quiet neighborhood, beautiful view from the balcony of the room toward the river. Friendly staff, delicious meals, and very compatible price."
40,1.0,"Khách sạn mới. Nhân viên thân thiện, lễ phép với khách, điểm 10 cho khách sạn đã đào tạo đội ngũ nhân viên tuyệt vời từ em bảo vệ cho đến tiếp tân, phục vụ rất thân thiện."
42,1.0,Vị trí khách sạn rất tốt. 
43,1.0,"Tôi thấy Chân Mây rất thân thiện và thoả mái, nếu đợt nghỉ sau chắc chắn tôi sẽ lựa chọn Chân Mây"
45,1.0,"Nhân viên và chủ nhà rất thân thiện và dễ mến. Mọi thứ đều ổn, có cả dịch vụ tham quan theo ngày và cho thuê xe máy giá cũng rẻ, hẹn hà giang lần sau."
46,1.0,"Located at a rural area, surround by rice field, river, and a lot of trees. Nice room with a balcony looking over the river. Internal swimming pool, quiet place, friendly staff, so for me it's like a mini resort with a good price."
47,1.0,"Nhân viên, phòng ốc, bữa sáng đều hết sảy ko có gì để chê. Có xe thuê tại chỗ với giá hợp lý, chất lượng xe miễn bàn, tụi mình chạy lòng vòng Hà Giang mà đi rất êm, xe dễ lái và cảm giác rất chắc tay."
48,1.0,Chủ nhà nghỉ tận tình vui tính
49,1.0,
50,1.0,"Khách sạn nằm ngay khu trung tâm nên đi lại tiện lắm, cafe , nhà hàng xung quanh ăn khá ngon. 
Về Phòng ốc vì khách sạn hoạt động khá lâu nên không thể mới  nhưng nhìn chung sạch sẽ , mùi thơm , dể chịu, view nhìn khá ổn. Có bể bơi nhưng hơi nhỏ. 
Các bạn nhân viên cũng nhiệt tình, mình muốn đi đâu , ăn gì cứ hỏi các bạn tư vấn giúp cho. 
Hy vọng có cơ hội ghé thăm lần sau"
52,1.0,"I really need a peaceful time from the busy work schedule, this is the perfect place for me."
53,1.0,"It's like a mini version of a resort, but better in so many way. Quiet neighborhood, nice view, room is clean and well designed. Cheap price, delicious meal, friendly staff."
55,1.0,"Khách sạn mới, sạch sẽ, gần trung tâm, thuận tiện đến các địa điểm tham quan."
57,1.0,"Gần trạm xe nên tiện đi lại, nhân viên rất OK hay chào hỏi khách, phòng ổn, tiện nghi cơ bản, nhà vệ sinh chung sạch sẽ, ko bị hôi. Bữa sáng ngon, vừa đủ khẩu phần, còn có thêm tráng miệng nữa. Có dịch vụ thuê xe tại khách sạn nên đây cũng là một lý do mình chọn nghỉ tại đây. Xe chạy ổn, ko bị hỏng vặt."
59,1.0,Tôi cảm thấy hợp lý và thoả mái
65,1.0,"Mr. Viet is the most welcome host I've ever met, happened to met him at the hallway, and we had a really good talk about where I should go next after Ha Giang, he gave me a lot of good advices, but unfortunately I don't have enough time to book his tour. Maybe next time."
66,1.0,thang máy 2 mặt
67,1.0,"Gần trung tâm, nhân viên thân thiện, quan tâm khách"
69,1.0,"Rooms are very new, clean and nice and especially they have fresh serve breakfast, you could enjoy the coffe on the 6th floor with very nice view of the mountain, I will introduce my friend to stay here."
73,1.0,"Absolutely brilliant, this hostel is wonderful. I love to drink and they have this small bar with beers and wines. Bed is comfortable enough, you paid what you get, but their price is really good. Great view to enjoy on the rooftop. Delicious, nice looking breakfast, but small ration. Every single staff here is friendly, and Mr. Viet even help me book a limousine bus for me to go to Hanoi. Really appreciate it mate. Hope to see you again next year."
74,1.0,"About 2 km away from city central, beautiful scenery surrounding the hotel, a really good place to relax, like a resort but in a much small scale. Beautifully design, swimming pool in the middle, all of the room has balcony, each has different view depends on the location of the room. Very compatible price for such excellent service."
